   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:202(SetuptoolsLegacyVersion)
        3    0.000    0.000    0.000    0.000 __init__.py:2021(register_finder)
       43    0.000    0.000    0.001    0.000 __init__.py:2031(find_distributions)
        8    0.000    0.000    0.002    0.000 __init__.py:2037(find_eggs_in_zip)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        4    0.000    0.000    0.000    0.000 __init__.py:2059(find_nothing)
      368    0.003    0.000    0.026    0.000 __init__.py:2063(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:209(memoized_property)
      417    0.001    0.000    0.002    0.000 __init__.py:21(natsort_key)
       13    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:211(__init__)
       17    0.000    0.000    0.000    0.000 __init__.py:211(current_page)
        3    0.000    0.000    0.000    0.000 __init__.py:2113(register_namespace_handler)
       88    0.000    0.000    0.006    0.000 __init__.py:2130(_handle_ns)
        2    0.000    0.000    0.002    0.001 __init__.py:2157(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:216(_MagicFormatMapping)
        4    0.000    0.000    0.000    0.000 __init__.py:216(_declare_state)
      129    0.000    0.000    0.004    0.000 __init__.py:2189(fixup_namespace_packages)
       13    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2200(file_ns_handler)
       32    0.000    0.000    0.000    0.000 __init__.py:221(current_item)
       22    0.000    0.000    0.001    0.000 __init__.py:2225(normalize_path)
     2641    0.000    0.000    0.002    0.000 __init__.py:2229(_normalize_cached)
       13    0.000    0.000    0.000    0.000 __init__.py:2244(yield_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:225(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.001    0.001 __init__.py:2284(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.001    0.001    0.002    0.002 __init__.py:24(<module>)
       16    0.007    0.000    0.093    0.006 __init__.py:241(_scan_directory_list)
        1    0.000    0.000    0.000    0.000 __init__.py:2419(Distribution)
      337    0.001    0.000    0.013    0.000 __init__.py:2423(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
      337    0.001    0.000    0.016    0.000 __init__.py:2435(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:248(EscapeFormatter)
        1    0.000    0.000    0.002    0.002 __init__.py:249(get_supported_platform)
      854    0.001    0.000    0.001    0.000 __init__.py:2491(key)
        1    0.000    0.000    0.000    0.000 __init__.py:25(Markup)
       30    0.000    0.000    0.000    0.000 __init__.py:251(current_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
      137    0.000    0.000    0.002    0.000 __init__.py:2579(_get_metadata)
      129    0.000    0.000    0.010    0.000 __init__.py:2584(activate)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
       26    0.000    0.000    0.000    0.000 __init__.py:261(change_page)
      475    0.000    0.000    0.001    0.000 __init__.py:2620(__getattr__)
       16    0.000    0.000    0.001    0.000 __init__.py:2626(from_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
      129    0.001    0.000    0.002    0.000 __init__.py:2665(insert_on)
     1141    0.001    0.000    0.001    0.000 __init__.py:27(coerce)
        1    0.000    0.000    0.000    0.000 __init__.py:2705(check_version_conflict)
        1    0.000    0.000    0.000    0.000 __init__.py:2748(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:275(_MarkupEscapeHelper)
        1    0.001    0.001    0.011    0.011 __init__.py:28(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2896(Requirement)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
       44    0.001    0.000    0.001    0.000 __init__.py:2955(_get_mro)
       36    0.000    0.000    0.000    0.000 __init__.py:2958(cls)
       44    0.000    0.000    0.001    0.000 __init__.py:2962(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:3031(_initialize)
      129    0.000    0.000    0.010    0.000 __init__.py:3050(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:318(ResolutionError)
        6    0.000    0.000    0.000    0.000 __init__.py:318(change_item)
        1    0.000    0.000    0.000    0.000 __init__.py:32(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:324(VersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
       16    0.000    0.000    0.003    0.000 __init__.py:334(_return_total_fd_count)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:356(ContextualVersionConflict)
       28    0.002    0.000    0.009    0.000 __init__.py:356(_return_filtered_dir_count)
        3    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:369(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:372(UnknownExtra)
        3    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
